z,G,ILambda_0_0,ILambda_1_0,a
-0.6,0,0,0,0.833333333333
-0.593969849246,3139.81431099,96.0264967487,96.0264967487,0.833333333333
-0.587939698492,6279.62862199,192.052993497,192.052993497,0.833333333333
-0.581909547739,9419.44293298,288.079490246,288.079490246,0.833333333333
-0.575879396985,12559.257244,384.105986995,384.105986995,0.833333333333
-0.569849246231,15699.071555,480.132483743,480.132483743,0.833333333333
-0.563819095477,18838.885866,576.158980492,576.158980492,0.833333333333
-0.557788944724,21978.700177,672.185477241,672.185477241,0.833333333333
-0.55175879397,25118.514488,768.211973989,768.211973989,0.833333333333
-0.545728643216,28258.3287989,864.238470738,864.238470738,0.833333333333
-0.539698492462,31398.1431099,960.264967487,960.264967487,0.833333333333
-0.533668341709,34537.9574209,1056.29146424,1056.29146424,0.833333333333
-0.527638190955,37677.7717319,1152.31796098,1152.31796098,0.833333333333
-0.521608040201,40817.5860429,1248.34445773,1248.34445773,0.833333333333
-0.515577889447,43957.4003539,1344.37095448,1344.37095448,0.833333333333
-0.509547738693,47097.2146649,1440.39745123,1440.39745123,0.833333333333
-0.50351758794,50237.0289759,1536.42394798,1536.42394798,0.833333333333
-0.497487437186,53376.8432869,1632.45044473,1632.45044473,0.833333333333
-0.491457286432,56516.6575979,1728.47694148,1728.47694148,0.833333333333
-0.485427135678,59656.4719089,1824.50343822,1824.50343822,0.833333333333
-0.479396984925,62796.2862199,1920.52993497,1920.52993497,0.833333333333
-0.473366834171,65936.1005309,2016.55643172,2016.55643172,0.833333333333
-0.467336683417,69075.9148419,2112.58292847,2112.58292847,0.833333333333
-0.461306532663,72215.7291529,2208.60942522,2208.60942522,0.833333333333
-0.45527638191,75355.5434639,2304.63592197,2304.63592197,0.833333333333
-0.449246231156,78495.3577749,2400.66241872,2400.66241872,0.833333333333
-0.443216080402,81635.1720859,2496.68891547,2496.68891547,0.833333333333
-0.437185929648,84774.9863968,2592.71541221,2592.71541221,0.833333333333
-0.431155778894,87914.8007078,2688.74190896,2688.74190896,0.833333333333
-0.425125628141,91054.6150188,2784.76840571,2784.76840571,0.833333333333
-0.419095477387,94194.4293298,2880.79490246,2880.79490246,0.833333333333
-0.413065326633,97334.2436408,2976.82139921,2976.82139921,0.833333333333
-0.407035175879,100474.057952,3072.84789596,3072.84789596,0.833333333333
-0.401005025126,103613.872263,3168.87439271,3168.87439271,0.833333333333
-0.394974874372,106753.686574,3264.90088945,3264.90088945,0.833333333333
-0.388944723618,109893.500885,3360.9273862,3360.9273862,0.833333333333
-0.382914572864,113033.315196,3456.95388295,3456.95388295,0.833333333333
-0.376884422111,116173.129507,3552.9803797,3552.9803797,0.833333333333
-0.370854271357,119312.943818,3649.00687645,3649.00687645,0.833333333333
-0.364824120603,122452.758129,3745.0333732,3745.0333732,0.833333333333
-0.358793969849,125592.57244,3841.05986995,3841.05986995,0.833333333333
-0.352763819095,128732.386751,3937.0863667,3937.0863667,0.833333333333
-0.346733668342,131872.201062,4033.11286344,4033.11286344,0.833333333333
-0.340703517588,135012.015373,4129.13936019,4129.13936019,0.833333333333
-0.334673366834,138151.829684,4225.16585694,4225.16585694,0.833333333333
-0.32864321608,141291.643995,4321.19235369,4321.19235369,0.833333333333
-0.322613065327,144431.458306,4417.21885044,4417.21885044,0.833333333333
-0.316582914573,147571.272617,4513.24534719,4513.24534719,0.833333333333
-0.310552763819,150711.086928,4609.27184394,4609.27184394,0.833333333333
-0.304522613065,153850.901239,4705.29834068,4705.29834068,0.833333333333
-0.298492462312,156990.71555,4801.32483743,4801.32483743,0.833333333333
-0.292462311558,160130.529861,4897.35133418,4897.35133418,0.833333333333
-0.286432160804,163270.344172,4993.37783093,4993.37783093,0.833333333333
-0.28040201005,166410.158483,5089.40432768,5089.40432768,0.833333333333
-0.274371859296,169549.972794,5185.43082443,5185.43082443,0.833333333333
-0.268341708543,172689.787105,5281.45732118,5281.45732118,0.833333333333
-0.262311557789,175829.601416,5377.48381793,5377.48381793,0.833333333333
-0.256281407035,178969.415727,5473.51031467,5473.51031467,0.833333333333
-0.250251256281,182109.230038,5569.53681142,5569.53681142,0.833333333333
-0.244221105528,185249.044349,5665.56330817,5665.56330817,0.833333333333
-0.238190954774,188388.85866,5761.58980492,5761.58980492,0.833333333333
-0.23216080402,191528.672971,5857.61630167,5857.61630167,0.833333333333
-0.226130653266,194668.487282,5953.64279842,5953.64279842,0.833333333333
-0.220100502513,197808.301593,6049.66929517,6049.66929517,0.833333333333
-0.214070351759,200948.115904,6145.69579191,6145.69579191,0.833333333333
-0.208040201005,204087.930215,6241.72228866,6241.72228866,0.833333333333
-0.202010050251,207227.744526,6337.74878541,6337.74878541,0.833333333333
-0.195979899497,208274.349296,6554.50102934,6554.50102934,0.833333333333
-0.189949748744,208274.349296,6831.61614685,6831.61614685,0.833333333333
-0.18391959799,208274.349296,7108.73126436,7108.73126436,0.833333333333
-0.177889447236,208274.349296,7385.84638187,7385.84638187,0.833333333333
-0.171859296482,208274.349296,7662.96149938,7662.96149938,0.833333333333
-0.165829145729,208274.349296,7940.07661689,7940.07661689,0.833333333333
-0.159798994975,208274.349296,8217.1917344,8217.1917344,0.833333333333
-0.153768844221,208274.349296,8494.30685191,8494.30685191,0.833333333333
-0.147738693467,208274.349296,8771.42196942,8771.42196942,0.833333333333
-0.141708542714,208274.349296,9048.53708693,9048.53708693,0.833333333333
-0.13567839196,208274.349296,9325.65220444,9325.65220444,0.833333333333
-0.129648241206,208274.349296,9602.76732195,9602.76732195,0.833333333333
-0.123618090452,208274.349296,9879.88243946,9879.88243946,0.833333333333
-0.117587939698,208274.349296,10156.997557,10156.997557,0.833333333333
-0.111557788945,208274.349296,10434.1126745,10434.1126745,0.833333333333
-0.105527638191,208274.349296,10711.227792,10711.227792,0.833333333333
-0.0994974874372,208274.349296,10988.3429095,10988.3429095,0.833333333333
-0.0934673366834,208274.349296,11265.458027,11265.458027,0.833333333333
-0.0874371859296,208274.349296,11542.5731445,11542.5731445,0.833333333333
-0.0814070351759,208274.349296,11819.688262,11819.688262,0.833333333333
-0.0753768844221,208274.349296,12096.8033795,12096.8033795,0.833333333333
-0.0693467336683,208274.349296,12373.9184971,12373.9184971,0.833333333333
-0.0633165829146,208274.349296,12651.0336146,12651.0336146,0.833333333333
-0.0572864321608,208274.349296,12928.1487321,12928.1487321,0.833333333333
-0.051256281407,208274.349296,13205.2638496,13205.2638496,0.833333333333
-0.0452261306533,208274.349296,13482.3789671,13482.3789671,0.833333333333
-0.0391959798995,208274.349296,13759.4940846,13759.4940846,0.833333333333
-0.0331658291457,208274.349296,14036.6092021,14036.6092021,0.833333333333
-0.027135678392,208274.349296,14313.7243196,14313.7243196,0.833333333333
-0.0211055276382,208274.349296,14590.8394371,14590.8394371,0.833333333333
-0.0150753768844,208274.349296,14867.9545546,14867.9545546,0.833333333333
-0.00904522613065,208274.349296,15145.0696722,15145.0696722,0.833333333333
-0.00301507537688,208274.349296,15422.1847897,15422.1847897,0.833333333333
0.00301507537688,208274.349296,15699.2999072,15699.2999072,0.833333333333
0.00904522613065,208274.349296,15976.4150247,15976.4150247,0.833333333333
0.0150753768844,208274.349296,16253.5301422,16253.5301422,0.833333333333
0.0211055276382,208274.349296,16530.6452597,16530.6452597,0.833333333333
0.027135678392,208274.349296,16807.7603772,16807.7603772,0.833333333333
0.0331658291457,208274.349296,17084.8754947,17084.8754947,0.833333333333
0.0391959798995,208274.349296,17361.9906122,17361.9906122,0.833333333333
0.0452261306533,208274.349296,17639.1057297,17639.1057297,0.833333333333
0.051256281407,208274.349296,17916.2208473,17916.2208473,0.833333333333
0.0572864321608,208274.349296,18193.3359648,18193.3359648,0.833333333333
0.0633165829146,208274.349296,18470.4510823,18470.4510823,0.833333333333
0.0693467336683,208274.349296,18747.5661998,18747.5661998,0.833333333333
0.0753768844221,208274.349296,19024.6813173,19024.6813173,0.833333333333
0.0814070351759,208274.349296,19301.7964348,19301.7964348,0.833333333333
0.0874371859296,208274.349296,19578.9115523,19578.9115523,0.833333333333
0.0934673366834,208274.349296,19856.0266698,19856.0266698,0.833333333333
0.0994974874372,208274.349296,20133.1417873,20133.1417873,0.833333333333
0.105527638191,208274.349296,20410.2569048,20410.2569048,0.833333333333
0.111557788945,208274.349296,20687.3720224,20687.3720224,0.833333333333
0.117587939698,208274.349296,20964.4871399,20964.4871399,0.833333333333
0.123618090452,208274.349296,21241.6022574,21241.6022574,0.833333333333
0.129648241206,208274.349296,21518.7173749,21518.7173749,0.833333333333
0.13567839196,208274.349296,21795.8324924,21795.8324924,0.833333333333
0.141708542714,208274.349296,22072.9476099,22072.9476099,0.833333333333
0.147738693467,208274.349296,22350.0627274,22350.0627274,0.833333333333
0.153768844221,208274.349296,22627.1778449,22627.1778449,0.833333333333
0.159798994975,208274.349296,22904.2929624,22904.2929624,0.833333333333
0.165829145729,208274.349296,23181.40808,23181.40808,0.833333333333
0.171859296482,208274.349296,23458.5231975,23458.5231975,0.833333333333
0.177889447236,208274.349296,23735.638315,23735.638315,0.833333333333
0.18391959799,208274.349296,24012.7534325,24012.7534325,0.833333333333
0.189949748744,208274.349296,24289.86855,24289.86855,0.833333333333
0.195979899497,208274.349296,24566.9836675,24566.9836675,0.833333333333
0.202010050251,207227.744526,24627.3465411,24627.3465411,0.833333333333
0.208040201005,204087.930215,24254.2049268,24254.2049268,0.833333333333
0.214070351759,200948.115904,23881.0633126,23881.0633126,0.833333333333
0.220100502513,197808.301593,23507.9216983,23507.9216983,0.833333333333
0.226130653266,194668.487282,23134.7800841,23134.7800841,0.833333333333
0.23216080402,191528.672971,22761.6384698,22761.6384698,0.833333333333
0.238190954774,188388.85866,22388.4968555,22388.4968555,0.833333333333
0.244221105528,185249.044349,22015.3552413,22015.3552413,0.833333333333
0.250251256281,182109.230038,21642.213627,21642.213627,0.833333333333
0.256281407035,178969.415727,21269.0720128,21269.0720128,0.833333333333
0.262311557789,175829.601416,20895.9303985,20895.9303985,0.833333333333
0.268341708543,172689.787105,20522.7887842,20522.7887842,0.833333333333
0.274371859296,169549.972794,20149.64717,20149.64717,0.833333333333
0.28040201005,166410.158483,19776.5055557,19776.5055557,0.833333333333
0.286432160804,163270.344172,19403.3639415,19403.3639415,0.833333333333
0.292462311558,160130.529861,19030.2223272,19030.2223272,0.833333333333
0.298492462312,156990.71555,18657.0807129,18657.0807129,0.833333333333
0.304522613065,153850.901239,18283.9390987,18283.9390987,0.833333333333
0.310552763819,150711.086928,17910.7974844,17910.7974844,0.833333333333
0.316582914573,147571.272617,17537.6558702,17537.6558702,0.833333333333
0.322613065327,144431.458306,17164.5142559,17164.5142559,0.833333333333
0.32864321608,141291.643995,16791.3726417,16791.3726417,0.833333333333
0.334673366834,138151.829684,16418.2310274,16418.2310274,0.833333333333
0.340703517588,135012.015373,16045.0894131,16045.0894131,0.833333333333
0.346733668342,131872.201062,15671.9477989,15671.9477989,0.833333333333
0.352763819095,128732.386751,15298.8061846,15298.8061846,0.833333333333
0.358793969849,125592.57244,14925.6645704,14925.6645704,0.833333333333
0.364824120603,122452.758129,14552.5229561,14552.5229561,0.833333333333
0.370854271357,119312.943818,14179.3813418,14179.3813418,0.833333333333
0.376884422111,116173.129507,13806.2397276,13806.2397276,0.833333333333
0.382914572864,113033.315196,13433.0981133,13433.0981133,0.833333333333
0.388944723618,109893.500885,13059.9564991,13059.9564991,0.833333333333
0.394974874372,106753.686574,12686.8148848,12686.8148848,0.833333333333
0.401005025126,103613.872263,12313.6732705,12313.6732705,0.833333333333
0.407035175879,100474.057952,11940.5316563,11940.5316563,0.833333333333
0.413065326633,97334.2436408,11567.390042,11567.390042,0.833333333333
0.419095477387,94194.4293298,11194.2484278,11194.2484278,0.833333333333
0.425125628141,91054.6150188,10821.1068135,10821.1068135,0.833333333333
0.431155778894,87914.8007078,10447.9651993,10447.9651993,0.833333333333
0.437185929648,84774.9863968,10074.823585,10074.823585,0.833333333333
0.443216080402,81635.1720859,9701.68197073,9701.68197073,0.833333333333
0.449246231156,78495.3577749,9328.54035647,9328.54035647,0.833333333333
0.45527638191,75355.5434639,8955.39874221,8955.39874221,0.833333333333
0.461306532663,72215.7291529,8582.25712796,8582.25712796,0.833333333333
0.467336683417,69075.9148419,8209.1155137,8209.1155137,0.833333333333
0.473366834171,65936.1005309,7835.97389944,7835.97389944,0.833333333333
0.479396984925,62796.2862199,7462.83228518,7462.83228518,0.833333333333
0.485427135678,59656.4719089,7089.69067092,7089.69067092,0.833333333333
0.491457286432,56516.6575979,6716.54905666,6716.54905666,0.833333333333
0.497487437186,53376.8432869,6343.4074424,6343.4074424,0.833333333333
0.50351758794,50237.0289759,5970.26582814,5970.26582814,0.833333333333
0.509547738693,47097.2146649,5597.12421388,5597.12421388,0.833333333333
0.515577889447,43957.4003539,5223.98259963,5223.98259963,0.833333333333
0.521608040201,40817.5860429,4850.84098537,4850.84098537,0.833333333333
0.527638190955,37677.7717319,4477.69937111,4477.69937111,0.833333333333
0.533668341709,34537.9574209,4104.55775685,4104.55775685,0.833333333333
0.539698492462,31398.1431099,3731.41614259,3731.41614259,0.833333333333
0.545728643216,28258.3287989,3358.27452833,3358.27452833,0.833333333333
0.55175879397,25118.514488,2985.13291407,2985.13291407,0.833333333333
0.557788944724,21978.700177,2611.99129981,2611.99129981,0.833333333333
0.563819095477,18838.885866,2238.84968555,2238.84968555,0.833333333333
0.569849246231,15699.071555,1865.70807129,1865.70807129,0.833333333333
0.575879396985,12559.257244,1492.56645704,1492.56645704,0.833333333333
0.581909547739,9419.44293298,1119.42484278,1119.42484278,0.833333333333
0.587939698492,6279.62862199,746.283228518,746.283228518,0.833333333333
0.593969849246,3139.81431099,373.141614259,373.141614259,0.833333333333
0.6,0,0,0,0.833333333333
