z,G,ILambda_0_0,ILambda_1_0,a
-0.6,0,0,0,8.33333333333
-0.593969849246,6875.98454054,408.189180681,408.189180681,8.33333333333
-0.587939698492,13751.9690811,816.378361361,816.378361361,8.33333333333
-0.581909547739,20627.9536216,1224.56754204,1224.56754204,8.33333333333
-0.575879396985,27503.9381622,1632.75672272,1632.75672272,8.33333333333
-0.569849246231,34379.9227027,2040.9459034,2040.9459034,8.33333333333
-0.563819095477,41255.9072432,2449.13508408,2449.13508408,8.33333333333
-0.557788944724,48131.8917838,2857.32426476,2857.32426476,8.33333333333
-0.55175879397,55007.8763243,3265.51344545,3265.51344545,8.33333333333
-0.545728643216,61883.8608649,3673.70262613,3673.70262613,8.33333333333
-0.539698492462,68759.8454054,4081.89180681,4081.89180681,8.33333333333
-0.533668341709,75635.8299459,4490.08098749,4490.08098749,8.33333333333
-0.527638190955,82511.8144865,4898.27016817,4898.27016817,8.33333333333
-0.521608040201,89387.799027,5306.45934885,5306.45934885,8.33333333333
-0.515577889447,96263.7835676,5714.64852953,5714.64852953,8.33333333333
-0.509547738693,103139.768108,6122.83771021,6122.83771021,8.33333333333
-0.50351758794,110015.752649,6531.02689089,6531.02689089,8.33333333333
-0.497487437186,116891.737189,6939.21607157,6939.21607157,8.33333333333
-0.491457286432,123767.72173,7347.40525225,7347.40525225,8.33333333333
-0.485427135678,130643.70627,7755.59443293,7755.59443293,8.33333333333
-0.479396984925,137519.690811,8163.78361361,8163.78361361,8.33333333333
-0.473366834171,144395.675351,8571.97279429,8571.97279429,8.33333333333
-0.467336683417,151271.659892,8980.16197498,8980.16197498,8.33333333333
-0.461306532663,158147.644432,9388.35115566,9388.35115566,8.33333333333
-0.45527638191,165023.628973,9796.54033634,9796.54033634,8.33333333333
-0.449246231156,171899.613513,10204.729517,10204.729517,8.33333333333
-0.443216080402,178775.598054,10612.9186977,10612.9186977,8.33333333333
-0.437185929648,185651.582595,11021.1078784,11021.1078784,8.33333333333
-0.431155778894,192527.567135,11429.2970591,11429.2970591,8.33333333333
-0.425125628141,199403.551676,11837.4862397,11837.4862397,8.33333333333
-0.419095477387,206279.536216,12245.6754204,12245.6754204,8.33333333333
-0.413065326633,213155.520757,12653.8646011,12653.8646011,8.33333333333
-0.407035175879,220031.505297,13062.0537818,13062.0537818,8.33333333333
-0.401005025126,226907.489838,13470.2429625,13470.2429625,8.33333333333
-0.394974874372,227907.29808,13610.1418803,13610.1418803,8.33333333333
-0.388944723618,227731.871062,13696.3827456,13696.3827456,8.33333333333
-0.382914572864,227556.444044,13782.6236108,13782.6236108,8.33333333333
-0.376884422111,227381.017026,13868.8644761,13868.8644761,8.33333333333
-0.370854271357,227205.590008,13955.1053413,13955.1053413,8.33333333333
-0.364824120603,227030.162991,14041.3462066,14041.3462066,8.33333333333
-0.358793969849,226854.735973,14127.5870719,14127.5870719,8.33333333333
-0.352763819095,226679.308955,14213.8279371,14213.8279371,8.33333333333
-0.346733668342,226503.881937,14300.0688024,14300.0688024,8.33333333333
-0.340703517588,226328.454919,14386.3096676,14386.3096676,8.33333333333
-0.334673366834,226153.027901,14472.5505329,14472.5505329,8.33333333333
-0.32864321608,225977.600884,14558.7913982,14558.7913982,8.33333333333
-0.322613065327,225802.173866,14645.0322634,14645.0322634,8.33333333333
-0.316582914573,225626.746848,14731.2731287,14731.2731287,8.33333333333
-0.310552763819,225451.31983,14817.5139939,14817.5139939,8.33333333333
-0.304522613065,225275.892812,14903.7548592,14903.7548592,8.33333333333
-0.298492462312,225100.465794,14989.9957245,14989.9957245,8.33333333333
-0.292462311558,224925.038777,15076.2365897,15076.2365897,8.33333333333
-0.286432160804,224749.611759,15162.477455,15162.477455,8.33333333333
-0.28040201005,224574.184741,15248.7183202,15248.7183202,8.33333333333
-0.274371859296,224398.757723,15334.9591855,15334.9591855,8.33333333333
-0.268341708543,224223.330705,15421.2000508,15421.2000508,8.33333333333
-0.262311557789,224047.903687,15507.440916,15507.440916,8.33333333333
-0.256281407035,223872.47667,15593.6817813,15593.6817813,8.33333333333
-0.250251256281,223697.049652,15679.9226465,15679.9226465,8.33333333333
-0.244221105528,223521.622634,15766.1635118,15766.1635118,8.33333333333
-0.238190954774,223346.195616,15852.4043771,15852.4043771,8.33333333333
-0.23216080402,223170.768598,15938.6452423,15938.6452423,8.33333333333
-0.226130653266,222995.34158,16024.8861076,16024.8861076,8.33333333333
-0.220100502513,222819.914563,16111.1269728,16111.1269728,8.33333333333
-0.214070351759,222644.487545,16197.3678381,16197.3678381,8.33333333333
-0.208040201005,222469.060527,16283.6087034,16283.6087034,8.33333333333
-0.202010050251,222293.633509,16369.8495686,16369.8495686,8.33333333333
-0.195979899497,222277.507477,16419.6364473,16419.6364473,8.33333333333
-0.189949748744,222341.031937,16451.1963327,16451.1963327,8.33333333333
-0.18391959799,222404.556398,16482.7562181,16482.7562181,8.33333333333
-0.177889447236,222468.080858,16514.3161035,16514.3161035,8.33333333333
-0.171859296482,222531.605319,16545.8759889,16545.8759889,8.33333333333
-0.165829145729,222595.12978,16577.4358743,16577.4358743,8.33333333333
-0.159798994975,222658.65424,16608.9957597,16608.9957597,8.33333333333
-0.153768844221,222722.178701,16640.5556451,16640.5556451,8.33333333333
-0.147738693467,222785.703161,16672.1155304,16672.1155304,8.33333333333
-0.141708542714,222849.227622,16703.6754158,16703.6754158,8.33333333333
-0.13567839196,222912.752082,16735.2353012,16735.2353012,8.33333333333
-0.129648241206,222976.276543,16766.7951866,16766.7951866,8.33333333333
-0.123618090452,223039.801003,16798.355072,16798.355072,8.33333333333
-0.117587939698,223103.325464,16829.9149574,16829.9149574,8.33333333333
-0.111557788945,223166.849925,16861.4748428,16861.4748428,8.33333333333
-0.105527638191,223230.374385,16893.0347282,16893.0347282,8.33333333333
-0.0994974874372,223293.898846,16924.5946136,16924.5946136,8.33333333333
-0.0934673366834,223357.423306,16956.154499,16956.154499,8.33333333333
-0.0874371859296,223420.947767,16987.7143844,16987.7143844,8.33333333333
-0.0814070351759,223484.472227,17019.2742698,17019.2742698,8.33333333333
-0.0753768844221,223547.996688,17050.8341552,17050.8341552,8.33333333333
-0.0693467336683,223611.521148,17082.3940406,17082.3940406,8.33333333333
-0.0633165829146,223675.045609,17113.953926,17113.953926,8.33333333333
-0.0572864321608,223738.57007,17145.5138114,17145.5138114,8.33333333333
-0.051256281407,223802.09453,17177.0736968,17177.0736968,8.33333333333
-0.0452261306533,223865.618991,17208.6335822,17208.6335822,8.33333333333
-0.0391959798995,223929.143451,17240.1934675,17240.1934675,8.33333333333
-0.0331658291457,223992.667912,17271.7533529,17271.7533529,8.33333333333
-0.027135678392,224056.192372,17303.3132383,17303.3132383,8.33333333333
-0.0211055276382,224119.716833,17334.8731237,17334.8731237,8.33333333333
-0.0150753768844,224183.241293,17366.4330091,17366.4330091,8.33333333333
-0.00904522613065,224246.765754,17397.9928945,17397.9928945,8.33333333333
-0.00301507537688,224310.290215,17429.5527799,17429.5527799,8.33333333333
0.00301507537688,224310.290215,17451.1074001,17451.1074001,8.33333333333
0.00904522613065,224246.765754,17462.6567551,17462.6567551,8.33333333333
0.0150753768844,224183.241293,17474.20611,17474.20611,8.33333333333
0.0211055276382,224119.716833,17485.755465,17485.755465,8.33333333333
0.027135678392,224056.192372,17497.30482,17497.30482,8.33333333333
0.0331658291457,223992.667912,17508.854175,17508.854175,8.33333333333
0.0391959798995,223929.143451,17520.4035299,17520.4035299,8.33333333333
0.0452261306533,223865.618991,17531.9528849,17531.9528849,8.33333333333
0.051256281407,223802.09453,17543.5022399,17543.5022399,8.33333333333
0.0572864321608,223738.57007,17555.0515949,17555.0515949,8.33333333333
0.0633165829146,223675.045609,17566.6009498,17566.6009498,8.33333333333
0.0693467336683,223611.521148,17578.1503048,17578.1503048,8.33333333333
0.0753768844221,223547.996688,17589.6996598,17589.6996598,8.33333333333
0.0814070351759,223484.472227,17601.2490148,17601.2490148,8.33333333333
0.0874371859296,223420.947767,17612.7983697,17612.7983697,8.33333333333
0.0934673366834,223357.423306,17624.3477247,17624.3477247,8.33333333333
0.0994974874372,223293.898846,17635.8970797,17635.8970797,8.33333333333
0.105527638191,223230.374385,17647.4464346,17647.4464346,8.33333333333
0.111557788945,223166.849925,17658.9957896,17658.9957896,8.33333333333
0.117587939698,223103.325464,17670.5451446,17670.5451446,8.33333333333
0.123618090452,223039.801003,17682.0944996,17682.0944996,8.33333333333
0.129648241206,222976.276543,17693.6438545,17693.6438545,8.33333333333
0.13567839196,222912.752082,17705.1932095,17705.1932095,8.33333333333
0.141708542714,222849.227622,17716.7425645,17716.7425645,8.33333333333
0.147738693467,222785.703161,17728.2919195,17728.2919195,8.33333333333
0.153768844221,222722.178701,17739.8412744,17739.8412744,8.33333333333
0.159798994975,222658.65424,17751.3906294,17751.3906294,8.33333333333
0.165829145729,222595.12978,17762.9399844,17762.9399844,8.33333333333
0.171859296482,222531.605319,17774.4893394,17774.4893394,8.33333333333
0.177889447236,222468.080858,17786.0386943,17786.0386943,8.33333333333
0.18391959799,222404.556398,17797.5880493,17797.5880493,8.33333333333
0.189949748744,222341.031937,17809.1374043,17809.1374043,8.33333333333
0.195979899497,222277.507477,17820.6867592,17820.6867592,8.33333333333
0.202010050251,222293.633509,17882.0186864,17882.0186864,8.33333333333
0.208040201005,222469.060527,18042.9157579,18042.9157579,8.33333333333
0.214070351759,222644.487545,18203.8128294,18203.8128294,8.33333333333
0.220100502513,222819.914563,18364.7099008,18364.7099008,8.33333333333
0.226130653266,222995.34158,18525.6069723,18525.6069723,8.33333333333
0.23216080402,223170.768598,18686.5040438,18686.5040438,8.33333333333
0.238190954774,223346.195616,18847.4011153,18847.4011153,8.33333333333
0.244221105528,223521.622634,19008.2981868,19008.2981868,8.33333333333
0.250251256281,223697.049652,19169.1952583,19169.1952583,8.33333333333
0.256281407035,223872.47667,19330.0923297,19330.0923297,8.33333333333
0.262311557789,224047.903687,19490.9894012,19490.9894012,8.33333333333
0.268341708543,224223.330705,19651.8864727,19651.8864727,8.33333333333
0.274371859296,224398.757723,19812.7835442,19812.7835442,8.33333333333
0.28040201005,224574.184741,19973.6806157,19973.6806157,8.33333333333
0.286432160804,224749.611759,20134.5776872,20134.5776872,8.33333333333
0.292462311558,224925.038777,20295.4747586,20295.4747586,8.33333333333
0.298492462312,225100.465794,20456.3718301,20456.3718301,8.33333333333
0.304522613065,225275.892812,20617.2689016,20617.2689016,8.33333333333
0.310552763819,225451.31983,20778.1659731,20778.1659731,8.33333333333
0.316582914573,225626.746848,20939.0630446,20939.0630446,8.33333333333
0.322613065327,225802.173866,21099.9601161,21099.9601161,8.33333333333
0.32864321608,225977.600884,21260.8571875,21260.8571875,8.33333333333
0.334673366834,226153.027901,21421.754259,21421.754259,8.33333333333
0.340703517588,226328.454919,21582.6513305,21582.6513305,8.33333333333
0.346733668342,226503.881937,21743.548402,21743.548402,8.33333333333
0.352763819095,226679.308955,21904.4454735,21904.4454735,8.33333333333
0.358793969849,226854.735973,22065.342545,22065.342545,8.33333333333
0.364824120603,227030.162991,22226.2396164,22226.2396164,8.33333333333
0.370854271357,227205.590008,22387.1366879,22387.1366879,8.33333333333
0.376884422111,227381.017026,22548.0337594,22548.0337594,8.33333333333
0.382914572864,227556.444044,22708.9308309,22708.9308309,8.33333333333
0.388944723618,227731.871062,22869.8279024,22869.8279024,8.33333333333
0.394974874372,227907.29808,23030.7249739,23030.7249739,8.33333333333
0.401005025126,226907.489838,23048.3998071,23048.3998071,8.33333333333
0.407035175879,220031.505297,22349.9634493,22349.9634493,8.33333333333
0.413065326633,213155.520757,21651.5270916,21651.5270916,8.33333333333
0.419095477387,206279.536216,20953.0907338,20953.0907338,8.33333333333
0.425125628141,199403.551676,20254.654376,20254.654376,8.33333333333
0.431155778894,192527.567135,19556.2180182,19556.2180182,8.33333333333
0.437185929648,185651.582595,18857.7816604,18857.7816604,8.33333333333
0.443216080402,178775.598054,18159.3453026,18159.3453026,8.33333333333
0.449246231156,171899.613513,17460.9089448,17460.9089448,8.33333333333
0.45527638191,165023.628973,16762.472587,16762.472587,8.33333333333
0.461306532663,158147.644432,16064.0362292,16064.0362292,8.33333333333
0.467336683417,151271.659892,15365.5998714,15365.5998714,8.33333333333
0.473366834171,144395.675351,14667.1635136,14667.1635136,8.33333333333
0.479396984925,137519.690811,13968.7271558,13968.7271558,8.33333333333
0.485427135678,130643.70627,13270.290798,13270.290798,8.33333333333
0.491457286432,123767.72173,12571.8544403,12571.8544403,8.33333333333
0.497487437186,116891.737189,11873.4180825,11873.4180825,8.33333333333
0.50351758794,110015.752649,11174.9817247,11174.9817247,8.33333333333
0.509547738693,103139.768108,10476.5453669,10476.5453669,8.33333333333
0.515577889447,96263.7835676,9778.10900909,9778.10900909,8.33333333333
0.521608040201,89387.799027,9079.6726513,9079.6726513,8.33333333333
0.527638190955,82511.8144865,8381.2362935,8381.2362935,8.33333333333
0.533668341709,75635.8299459,7682.79993571,7682.79993571,8.33333333333
0.539698492462,68759.8454054,6984.36357792,6984.36357792,8.33333333333
0.545728643216,61883.8608649,6285.92722013,6285.92722013,8.33333333333
0.55175879397,55007.8763243,5587.49086234,5587.49086234,8.33333333333
0.557788944724,48131.8917838,4889.05450454,4889.05450454,8.33333333333
0.563819095477,41255.9072432,4190.61814675,4190.61814675,8.33333333333
0.569849246231,34379.9227027,3492.18178896,3492.18178896,8.33333333333
0.575879396985,27503.9381622,2793.74543117,2793.74543117,8.33333333333
0.581909547739,20627.9536216,2095.30907338,2095.30907338,8.33333333333
0.587939698492,13751.9690811,1396.87271558,1396.87271558,8.33333333333
0.593969849246,6875.98454054,698.436357792,698.436357792,8.33333333333
0.6,0,0,0,8.33333333333
