z,C2H4,CO,CO2,H2O,N2,O2,T,p,rho
-0.6,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.593969849246,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.587939698492,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.581909547739,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.575879396985,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.569849246231,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.563819095477,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.557788944724,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.55175879397,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.545728643216,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.539698492462,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.533668341709,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.527638190955,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.521608040201,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.515577889447,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.509547738693,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.50351758794,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.497487437186,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.491457286432,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.485427135678,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.479396984925,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.473366834171,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.467336683417,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.461306532663,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.45527638191,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.449246231156,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.443216080402,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.437185929648,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.431155778894,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.425125628141,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
-0.419095477387,0,0,0.000590892247293,0.00590892247293,0.763152360064,0.230347825216,1000,101334.21745,0.350397657126
