z,G,ILambda_0_0,ILambda_1_0,a
-0.6,0,0,0,0.0833333333333
-0.593969849246,37849.2719521,15.7344120989,15.7344120989,0.0833333333333
-0.587939698492,75698.5439042,31.4688241979,31.4688241979,0.0833333333333
-0.581909547739,113547.815856,47.2032362968,47.2032362968,0.0833333333333
-0.575879396985,151397.087808,62.9376483957,62.9376483957,0.0833333333333
-0.569849246231,189246.35976,78.6720604946,78.6720604946,0.0833333333333
-0.563819095477,227095.631713,94.4064725936,94.4064725936,0.0833333333333
-0.557788944724,264944.903665,110.140884693,110.140884693,0.0833333333333
-0.55175879397,302794.175617,125.875296791,125.875296791,0.0833333333333
-0.545728643216,340643.447569,141.60970889,141.60970889,0.0833333333333
-0.539698492462,378492.719521,157.344120989,157.344120989,0.0833333333333
-0.533668341709,416341.991473,173.078533088,173.078533088,0.0833333333333
-0.527638190955,454191.263425,188.812945187,188.812945187,0.0833333333333
-0.521608040201,492040.535377,204.547357286,204.547357286,0.0833333333333
-0.515577889447,529889.807329,220.281769385,220.281769385,0.0833333333333
-0.509547738693,567739.079281,236.016181484,236.016181484,0.0833333333333
-0.50351758794,605588.351233,251.750593583,251.750593583,0.0833333333333
-0.497487437186,612548.490641,265.250414346,265.250414346,0.0833333333333
-0.491457286432,576263.844486,275.621807238,275.621807238,0.0833333333333
-0.485427135678,539979.198331,285.99320013,285.99320013,0.0833333333333
-0.479396984925,503694.552175,296.364593023,296.364593023,0.0833333333333
-0.473366834171,467409.90602,306.735985915,306.735985915,0.0833333333333
-0.467336683417,431125.259865,317.107378808,317.107378808,0.0833333333333
-0.461306532663,394840.61371,327.4787717,327.4787717,0.0833333333333
-0.45527638191,358555.967555,337.850164592,337.850164592,0.0833333333333
-0.449246231156,322271.3214,348.221557485,348.221557485,0.0833333333333
-0.443216080402,285986.675244,358.592950377,358.592950377,0.0833333333333
-0.437185929648,249702.029089,368.964343269,368.964343269,0.0833333333333
-0.431155778894,213417.382934,379.335736162,379.335736162,0.0833333333333
-0.425125628141,177132.736779,389.707129054,389.707129054,0.0833333333333
-0.419095477387,140848.090624,400.078521946,400.078521946,0.0833333333333
-0.413065326633,104563.444469,410.449914839,410.449914839,0.0833333333333
-0.407035175879,68278.7983135,420.821307731,420.821307731,0.0833333333333
-0.401005025126,31994.1521583,431.192700623,431.192700623,0.0833333333333
-0.394974874372,25960.9208672,441.480528519,441.480528519,0.0833333333333
-0.388944723618,25977.9725488,451.751643414,451.751643414,0.0833333333333
-0.382914572864,25995.0242305,462.02275831,462.02275831,0.0833333333333
-0.376884422111,26012.0759121,472.293873205,472.293873205,0.0833333333333
-0.370854271357,26029.1275938,482.564988101,482.564988101,0.0833333333333
-0.364824120603,26046.1792754,492.836102997,492.836102997,0.0833333333333
-0.358793969849,26063.2309571,503.107217892,503.107217892,0.0833333333333
-0.352763819095,26080.2826387,513.378332788,513.378332788,0.0833333333333
-0.346733668342,26097.3343204,523.649447683,523.649447683,0.0833333333333
-0.340703517588,26114.386002,533.920562579,533.920562579,0.0833333333333
-0.334673366834,26131.4376837,544.191677475,544.191677475,0.0833333333333
-0.32864321608,26148.4893653,554.46279237,554.46279237,0.0833333333333
